 YYYY MM DD  Total  North  South
 1874  5  1   -1.0   -1.0   -1.0
 1874  5  2   -1.0   -1.0   -1.0
 1874  5  3   -1.0   -1.0   -1.0
 1874  5  4   -1.0   -1.0   -1.0
 1874  5  5   -1.0   -1.0   -1.0
 1874  5  6   -1.0   -1.0   -1.0
 1874  5  7   -1.0   -1.0   -1.0
 1874  5  8   -1.0   -1.0   -1.0
 1874  5  9 1298.0  446.0  852.0
 1874  5 10 1150.0  343.0  807.0
 1874  5 11  767.0  240.0  527.0
 1874  5 12  389.0    0.0  389.0
 1874  5 13  350.0    0.0  350.0
 1874  5 14  312.0    0.0  312.0
 1874  5 15  273.0    0.0  273.0
 1874  5 16  314.0    0.0  314.0
 1874  5 17  217.0    0.0  217.0
 1874  5 18  119.0    0.0  119.0
 1874  5 19   28.0    0.0   28.0
 1874  5 20  329.0    0.0  329.0
 1874  5 21  222.0    0.0  222.0
 1874  5 22  281.0    0.0  281.0
 1874  5 23  210.0    0.0  210.0
 1874  5 24  155.0    0.0  155.0
 1874  5 25  100.0    0.0  100.0
 1874  5 26  428.0  384.0   44.0
 1874  5 27  353.0  353.0    0.0
 1874  5 28  322.0  322.0    0.0
 1874  5 29  290.0  290.0    0.0
 1874  5 30  259.0  259.0    0.0
 1874  5 31  231.0  231.0    0.0
 1874  6  1  313.0  202.0  111.0
 1874  6  2  392.0  226.0  166.0
 1874  6  3  375.0  221.0  154.0
 1874  6  4  358.0  216.0  142.0
 1874  6  5  340.0  213.0  127.0
 1874  6  6   -1.0   -1.0   -1.0
 1874  6  7   -1.0   -1.0   -1.0
 1874  6  8   -1.0   -1.0   -1.0
 1874  6  9   -1.0   -1.0   -1.0
 1874  6 10   -1.0   -1.0   -1.0
 1874  6 11   50.0    0.0   50.0
 1874  6 12   30.0    0.0   30.0
 1874  6 13  134.0   26.0  108.0
 1874  6 14   69.0    0.0   69.0
 1874  6 15  184.0  126.0   58.0
 1874  6 16  284.0  199.0   85.0
 1874  6 17  412.0  272.0  140.0
 1874  6 18  540.0  345.0  195.0
 1874  6 19  668.0  418.0  250.0
 1874  6 20  461.0  461.0    0.0
 1874  6 21  504.0  504.0    0.0
 1874  6 22  548.0  548.0    0.0
 1874  6 23  589.0  589.0    0.0
 1874  6 24  543.0  543.0    0.0
 1874  6 25  541.0  541.0    0.0
 1874  6 26  243.0  243.0    0.0
 1874  6 27  390.0  373.0   17.0
 1874  6 28  564.0  346.0  218.0
 1874  6 29  738.0  319.0  419.0
 1874  6 30 1110.0  355.0  755.0
 1874  7  1  975.0  271.0  704.0
 1874  7  2  972.0  200.0  772.0
 1874  7  3  739.0  265.0  474.0
 1874  7  4 1724.0  717.0 1007.0
 1874  7  5 1897.0  898.0  999.0
 1874  7  6 2225.0 1164.0 1061.0
 1874  7  7 2087.0 1251.0  836.0
 1874  7  8 2163.0 1320.0  843.0
 1874  7  9 1933.0 1293.0  640.0
 1874  7 10 1424.0  887.0  537.0
 1874  7 11 1207.0  665.0  542.0
 1874  7 12  988.0  442.0  546.0
 1874  7 13  769.0  218.0  551.0
 1874  7 14  370.0  134.0  236.0
 1874  7 15  780.0  335.0  445.0
 1874  7 16  990.0  453.0  537.0
 1874  7 17  750.0  750.0    0.0
 1874  7 18  731.0  731.0    0.0
 1874  7 19  696.0  696.0    0.0
 1874  7 20  829.0  829.0    0.0
 1874  7 21  768.0  768.0    0.0
 1874  7 22  937.0  937.0    0.0
 1874  7 23 1336.0 1336.0    0.0
 1874  7 24 1278.0 1278.0    0.0
 1874  7 25  370.0  370.0    0.0
 1874  7 26  294.0  294.0    0.0
 1874  7 27  290.0  290.0    0.0
 1874  7 28  285.0  285.0    0.0
 1874  7 29  280.0  280.0    0.0
 1874  7 30  910.0  910.0    0.0
 1874  7 31 1042.0 1042.0    0.0
 1874  8  1 1014.0 1014.0    0.0
 1874  8  2  987.0  987.0    0.0
 1874  8  3 1224.0  959.0  265.0
 1874  8  4 1031.0  769.0  262.0
 1874  8  5  992.0  732.0  260.0
 1874  8  6  950.0  694.0  256.0
 1874  8  7 1067.0  752.0  315.0
 1874  8  8 1700.0 1327.0  373.0
 1874  8  9  979.0  675.0  304.0
 1874  8 10 1812.0  679.0 1133.0
 1874  8 11 1948.0  659.0 1289.0
 1874  8 12 1557.0  475.0 1082.0
 1874  8 13 1564.0  448.0 1116.0
 1874  8 14 1570.0  420.0 1150.0
 1874  8 15 1471.0  463.0 1008.0
 1874  8 16 1260.0  461.0  799.0
