#                  1                2                3                     4                 5                    6                  7                   8                   9               10                      11                  12                13                    14               15                    16                   17                    18               19                    20               21               22               23               24               25               26               27               28              29               30               31               32               33               34               35               36               37               38               39              40               41               42               43               44               45               46               47               48               49               50              51               52               53               54               55               56               57               58               59               60               61
!              model          Mass(Mo)            Radius(Ro)               Yi               Zi                [Fe/H]i              age(Gyr)            alpha                f_ov               Ys                  Zs                [Fe/H]s             Teff(K)                L(Lo)            density(gm/cm^3)       Logg               cntr_h1        cntr_he4          tau0(s)           rcc(R)           mcc(M)           tcc(s)           rec(R)           mec(M)           tec(s)         rpeak(R)         mpeak(M)         tpeak(s)         rdip(R)          mdip(M)          tdip(s)              dnu            numax          r02(12)          r02(13)          r02(14)          r02(15)          r02(16)          r02(17)         r02(18)          r02(19)          r02(20)          r02(21)          r02(22)          r02(23)          r02(24)          r02(25)          r02(26)          r01(13)          r01(14)         r01(15)          r01(16)          r01(17)          r01(18)          r01(19)          r01(20)          r01(21)          r01(22)          r01(23)          r01(24)          r01(25) 
               33.01          0.79913664          0.72471875          0.29528633          0.01740462          0.04310846          0.07474367          1.46422517          0.00000000          0.28465956          0.01415918         -0.05519619       4984.91455078          0.29137495          2.95741367          4.62017155          0.68604499          0.29651022       2447.50170898          0.10638619          0.03126877        103.57334900          0.70102561          0.94650072        974.28631592        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        194.66207886       5077.68847656          0.11649115          0.11308713          0.10992404          0.10696269          0.10331701          0.10027116          0.09716241          0.09395939          0.09127639          0.08841459          0.08574506          0.08336234          0.08084282          0.07863677          0.07648375          0.03767146          0.03810678          0.03610540          0.03463355          0.03445670          0.03226062          0.03170381          0.03103896          0.02945677          0.02937705          0.02825916          0.02731605          0.02708630
               33.02          0.79913664          0.73638499          0.29528633          0.01740462          0.04310846          0.43474367          1.46422517          0.00000000          0.28378332          0.01426905         -0.05231373       4956.07519531          0.29392982          2.81907010          4.60630083          0.67134279          0.31073913       2506.80273438          0.00000000          0.00000000          0.00000000          0.69696802          0.94384122        988.59002686        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        189.97598267       4932.36425781          0.11220766          0.10891437          0.10566109          0.10283460          0.09943707          0.09647685          0.09365227          0.09064297          0.08804725          0.08537178          0.08276324          0.08043081          0.07801049          0.07580066          0.07371645          0.03582066          0.03609213          0.03477646          0.03318094          0.03318625          0.03140653          0.03052956          0.03006516          0.02850104          0.02808409          0.02717420          0.02604432          0.02573661
               33.03          0.79913664          0.74448746          0.29528633          0.01740462          0.04310846          1.23474371          1.46422517          0.00000000          0.28048056          0.01414506         -0.05821888       4970.20703125          0.30387503          2.72802591          4.59679556          0.63905501          0.34287539       2547.39331055          0.00000000          0.00000000          0.00000000          0.69537485          0.94437426       1000.39459229        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        186.85113525       4818.72265625          0.10924798          0.10611449          0.10295799          0.10020979          0.09695616          0.09407798          0.09131658          0.08839036          0.08583790          0.08320513          0.08066782          0.07840578          0.07604726          0.07392252          0.07190619          0.03493135          0.03509476          0.03391812          0.03237271          0.03226899          0.03052805          0.02964701          0.02912882          0.02761815          0.02729144          0.02638723          0.02532743          0.02511356
               33.04          0.79913664          0.75151658          0.29528633          0.01740462          0.04310846          2.03474379          1.46422517          0.00000000          0.27709690          0.01397869         -0.06553749       4985.68115234          0.31351441          2.65219164          4.58863354          0.60670590          0.37510288       2582.61596680          0.00000000          0.00000000          0.00000000          0.69363409          0.94490731       1009.72778320        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        184.21989441       4721.65820312          0.10663368          0.10355378          0.10047228          0.09773908          0.09455699          0.09176225          0.08903296          0.08616842          0.08367750          0.08106831          0.07859236          0.07640375          0.07409053          0.07203587          0.07007936          0.03412506          0.03421379          0.03299321          0.03157151          0.03141194          0.02962138          0.02883780          0.02827163          0.02673851          0.02656120          0.02564677          0.02460228          0.02450789
               33.05          0.79913664          0.75864559          0.29528633          0.01740462          0.04310846          2.83474374          1.46422517          0.00000000          0.27389514          0.01385133         -0.07154718       5001.29101562          0.32351071          2.57812381          4.58043242          0.57418162          0.40750426       2618.43359375          0.00000000          0.00000000          0.00000000          0.69179958          0.94544035       1018.93652344        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        181.62454224       4626.09960938          0.10402376          0.10097649          0.09789702          0.09522350          0.09206489          0.08931638          0.08667725          0.08381949          0.08138975          0.07884855          0.07636821          0.07427462          0.07201976          0.06998548          0.06813202          0.03322855          0.03334314          0.03214485          0.03058697          0.03060492          0.02874148          0.02785637          0.02751606          0.02578815          0.02566498          0.02498003          0.02371221          0.02381600
               33.06          0.79913664          0.76595038          0.29528633          0.01740462          0.04310846          3.63474369          1.46422517          0.00000000          0.27061582          0.01368914         -0.07875589       5017.53710938          0.33407658          2.50506306          4.57210922          0.54149204          0.44006991       2655.19555664          0.00000000          0.00000000          0.00000000          0.68994540          0.94597346       1028.29992676        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        179.04605103       4530.92968750          0.10136415          0.09831914          0.09525244          0.09260111          0.08946186          0.08675621          0.08418006          0.08135092          0.07897176          0.07649099          0.07402880          0.07199525          0.06980152          0.06780124          0.06601910          0.03237435          0.03247442          0.03122922          0.02960498          0.02971032          0.02781787          0.02687755          0.02665802          0.02483577          0.02470123          0.02416735          0.02281853          0.02300324
               33.07          0.79913664          0.77346796          0.29528633          0.01740462          0.04310846          4.43474388          1.46422517          0.00000000          0.26736787          0.01352920         -0.08592307       5034.64697266          0.34533694          2.43272853          4.56362581          0.50866574          0.47277161       2693.10742188          0.00000000          0.00000000          0.00000000          0.68938684          0.94702804       1040.82678223        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        176.47006226       4435.72656250          0.09863039          0.09562248          0.09248389          0.08988129          0.08676786          0.08403233          0.08157316          0.07875904          0.07638623          0.07402793          0.07156936          0.06957144          0.06748614          0.06547429          0.06377923          0.03150077          0.03151790          0.03043886          0.02848296          0.02874411          0.02697593          0.02572863          0.02580743          0.02395405          0.02355208          0.02339875          0.02187150          0.02202465
               33.08          0.79913664          0.78134173          0.29528633          0.01740462          0.04310846          5.23474360          1.46422517          0.00000000          0.26429132          0.01340790         -0.09176123       5052.30224609          0.35737285          2.35992169          4.55482817          0.47571921          0.50558668       2732.92919922          0.00000000          0.00000000          0.00000000          0.68750268          0.94755536       1050.93139648        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        173.85806274       4339.17578125          0.09582903          0.09283336          0.08964413          0.08704191          0.08395279          0.08119609          0.07879715          0.07602952          0.07366771          0.07139383          0.06897597          0.06700236          0.06500144          0.06302023          0.06137037          0.03071812          0.03058280          0.02958312          0.02741688          0.02768359          0.02607135          0.02463630          0.02482531          0.02306198          0.02244573          0.02246268          0.02094044          0.02097864
               33.09          0.79913664          0.78977907          0.29528633          0.01740462          0.04310846          6.03474379          1.46422517          0.00000000          0.26114681          0.01326973         -0.09822942       5069.91357422          0.37025064          2.28509212          4.54549932          0.44268835          0.53847647       2775.72900391          0.00000000          0.00000000          0.00000000          0.68550897          0.94808263       1061.68994141        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        171.13444519       4239.57568359          0.09297187          0.09000656          0.08672705          0.08412037          0.08105673          0.07824515          0.07588923          0.07316706          0.07079443          0.06861622          0.06622189          0.06426305          0.06234415          0.06037644          0.05876063          0.03003968          0.02964925          0.02882810          0.02635858          0.02655311          0.02521244          0.02349295          0.02378221          0.02217372          0.02126211          0.02146565          0.01995986          0.01978284
               33.10          0.79913664          0.79876345          0.29528633          0.01740462          0.04310846          6.83474350          1.46422517          0.00000000          0.25816494          0.01315440         -0.10387039       5087.81201172          0.38409880          2.20884919          4.53567410          0.40958440          0.57143307       2821.46093750          0.00000000          0.00000000          0.00000000          0.68344092          0.94860423       1073.12512207        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        -99.00000000        168.32141113       4137.44287109          0.09004873          0.08712276          0.08373946          0.08108548          0.07806284          0.07516096          0.07283293          0.07016256          0.06774589          0.06563494          0.06330550          0.06133333          0.05950074          0.05756107          0.05594754          0.02950676          0.02873516          0.02813095          0.02535546          0.02536501          0.02433869          0.02232318          0.02261993          0.02129334          0.02003352          0.02037547          0.01897445          0.01848595
