#       freq (microHz)    spectrum (ppm2/microHz)   smooth spectrum (scoef1)    smooth spectrum (scoef2)    model spectrum (ppm2/microHz)
                   0        0.9050743964        0.6231928413         1.084068595            1.000004
       0.07716763898        0.3413112862        0.6312493472         1.098711113            1.000004
         0.154335278        0.6473623589         2.014697169         1.155219703            1.000004
        0.2315029169         6.165040635         2.293941307         1.124721163            1.000004
        0.3086705559         3.410917859         2.576317804          1.18997341            1.000004
        0.3858381949       0.08195036435         2.466530126         1.202696607            1.000004
        0.4630058339        0.2082116463        0.9503237538         1.192583218            1.000004
        0.5401734729        0.1002151457        0.1510345635         1.156505293            1.000004
        0.6173411118        0.2137610978        0.1477394446         1.115265556            1.000004
        0.6945087508       0.06876988853        0.1168358097         1.085069754            1.000004
        0.7716763898       0.08459710687        0.2875447639         1.110435114            1.000004
        0.8488440288        0.7830509624        0.9801457956         1.090280094            1.000004
        0.9260116677         2.984165225         1.320201022         1.095065216            1.000004
         1.003179307         1.428990793         1.356525146         1.085472511            1.000004
         1.080346946        0.2298936028         1.350554457          1.08897445            1.000004
         1.157514585        0.7591682077        0.8580831211         1.134725847            1.000004
         1.234682224         1.014279881        0.8448548649         1.111490306            1.000004
         1.311849863         1.376077768        0.8691049992          1.10631364            1.000004
         1.389017502        0.3268941397         0.817222832         1.105641548            1.000004
         1.466185141        0.5516395389        0.9115432268         1.078766703            1.000004
          1.54335278          1.39156146         1.152998808         1.060054327            1.000004
         1.620520419         2.341900093         1.184713596         1.062225767            1.000004
         1.697688058        0.4537532918         1.719497482         1.085313293            1.000004
         1.774855697         2.690775084         1.748620453         1.063260302            1.000004
         1.852023335         1.508053342         1.398082555         1.050778346            1.000004
         1.929190974        0.9397485007         1.339264041         1.030353964            1.000004
         2.006358613        0.2184792397        0.6670184319         1.012644004            1.000004
         2.083526252      0.001792645491        0.3499019231         1.010313885            1.000004
         2.160693891        0.2395873065        0.5764724371        0.9960333517            1.000004
          2.23786153         1.846030557        0.6432600032        0.9848940451            1.000004
         2.315029169        0.4856295039        0.9536628355         0.982165065            1.000004
         2.392196808         1.243403975         1.088392502        0.9687306768            1.000004
         2.469364447        0.7785059724        0.9280194657        0.9636772261            1.000004
         2.546532086         1.204538412         1.479180431        0.9499730002            1.000004
         2.623699725         2.690273366         1.242891026        0.9378251019            1.000004
         2.700867364        0.2982463553         1.278252948        0.9298633752            1.000004
         2.778035003        0.9199536603         1.247311887        0.9235986088            1.000004
         2.855202642         1.080774165        0.5891241934        0.9211013888            1.000004
         2.932370281       0.05752259259        0.5971305143        0.9072396761            1.000004
          3.00953792        0.3302716392        0.6544129494        0.9173697107            1.000004
         3.086705559         1.149083401        0.8921948642         0.818243304            1.000004
         3.163873198         2.031901824        0.9120728895        0.9217429369            1.000004
         3.241040837         0.137034694        0.9580185399        0.8708375792            1.000004
         3.318208476        0.5140542408        0.7036679829        0.8671875393            1.000004
         3.395376115        0.1316811725        0.2496164782         0.804021667            1.000004
         3.472543754        0.2156958054        0.4411399044        0.7666432273            1.000004
         3.549711393        0.9031283989        0.3938384147        0.7484025781            1.000004
         3.626879032        0.3248482822        0.4734699528        0.7502531535            1.000004
         3.704046671        0.4502073245        0.6316572615        0.7756696506            1.000004
          3.78121431        0.8484450405        0.4801279794        0.8125790936            1.000004
         3.858381949        0.2970112705        0.5754037183        0.8215292683            1.000004
         3.935549588        0.7059512375        0.5221902005         0.834592966            1.000004
         4.012717227        0.2373532534        0.3835755639        0.8061223024            1.000004
         4.089884866         0.293986494        0.4343052793        0.7873393031            1.000004
         4.167052505        0.4999301323        0.4025765841        0.7613001616            1.000004
         4.244220144        0.5790364568        0.5385525383        0.6946628676            1.000004
         4.321387783        0.7812570699        0.4943364272        0.7054550725            1.000004
         4.398555422        0.1171220499        0.7455818239        0.7525525999            1.000004
         4.475723061         1.504911719        0.6723954923        0.7357256487            1.000004
           4.5528907        0.2862911306         1.859967919        0.7542756235            1.000004
         4.630058339         5.531546777         1.907108853        0.7463497449            1.000004
         4.707225978        0.3056857864         1.607818847        0.7219072436            1.000004
         4.784393617        0.3077516932         1.577281112        0.6880405451            1.000004
         4.861561256        0.1641401916        0.1976233562         0.708561435            1.000004
         4.938728895        0.0129157536        0.1737325428        0.7023293401            1.000004
         5.015896534        0.2101225327        0.1699201842        0.7138612792            1.000004
         5.093064173        0.2925022588        0.3834982681        0.7444668495            1.000004
         5.170231812         1.018452527        0.8092605864        0.7633800225            1.000004
         5.247399451         1.715965027          1.30773934        0.7661047814            1.000004
          5.32456709         2.204037546         1.486658128        0.8884799025            1.000004
         5.401734729         1.008177414         1.258189354        0.8975570199            1.000004
         5.478902368        0.1045774307        0.8359945968         0.930061158            1.000004
         5.556070006       0.02718599752        0.3257283983        0.9163131319            1.000004
         5.633237645        0.1629727515        0.0798794472        0.9169277756            1.000004
         5.710405284       0.02478160904        0.2362187273        0.9154449592            1.000004
